Gene stable ID	Gene stable ID version	Transcript stable ID version
ENSVPAG00000001853	ENSVPAG00000001853.1	ENSVPAT00000001852.1
ENSVPAG00000000014	ENSVPAG00000000014.1	ENSVPAT00000000015.1
ENSVPAG00000006891	ENSVPAG00000006891.1	ENSVPAT00000006891.1
ENSVPAG00000005201	ENSVPAG00000005201.1	ENSVPAT00000005202.1
ENSVPAG00000004343	ENSVPAG00000004343.1	ENSVPAT00000004343.1
ENSVPAG00000003135	ENSVPAG00000003135.1	ENSVPAT00000003135.1
ENSVPAG00000001547	ENSVPAG00000001547.1	ENSVPAT00000001548.1
ENSVPAG00000004345	ENSVPAG00000004345.1	ENSVPAT00000004345.1
ENSVPAG00000010276	ENSVPAG00000010276.1	ENSVPAT00000010275.1
ENSVPAG00000008729	ENSVPAG00000008729.1	ENSVPAT00000008729.1
ENSVPAG00000005204	ENSVPAG00000005204.1	ENSVPAT00000005203.1
ENSVPAG00000003136	ENSVPAG00000003136.1	ENSVPAT00000003136.1
ENSVPAG00000010278	ENSVPAG00000010278.1	ENSVPAT00000010277.1
ENSVPAG00000004060	ENSVPAG00000004060.1	ENSVPAT00000004059.1
ENSVPAG00000005205	ENSVPAG00000005205.1	ENSVPAT00000005204.1
ENSVPAG00000010279	ENSVPAG00000010279.1	ENSVPAT00000010283.1
ENSVPAG00000002817	ENSVPAG00000002817.1	ENSVPAT00000002817.1
ENSVPAG00000005206	ENSVPAG00000005206.1	ENSVPAT00000005205.1
ENSVPAG00000005621	ENSVPAG00000005621.1	ENSVPAT00000005621.1
ENSVPAG00000003652	ENSVPAG00000003652.1	ENSVPAT00000003651.1
ENSVPAG00000005035	ENSVPAG00000005035.1	ENSVPAT00000005035.1
ENSVPAG00000004367	ENSVPAG00000004367.1	ENSVPAT00000004367.1
ENSVPAG00000003521	ENSVPAG00000003521.1	ENSVPAT00000003520.1
ENSVPAG00000003156	ENSVPAG00000003156.1	ENSVPAT00000003156.1
ENSVPAG00000005622	ENSVPAG00000005622.1	ENSVPAT00000005622.1
ENSVPAG00000005036	ENSVPAG00000005036.1	ENSVPAT00000005036.1
ENSVPAG00000003522	ENSVPAG00000003522.1	ENSVPAT00000003521.1
ENSVPAG00000005623	ENSVPAG00000005623.1	ENSVPAT00000005623.1
ENSVPAG00000010712	ENSVPAG00000010712.1	ENSVPAT00000010711.1
ENSVPAG00000005624	ENSVPAG00000005624.1	ENSVPAT00000005624.1
ENSVPAG00000000187	ENSVPAG00000000187.1	ENSVPAT00000000187.1
ENSVPAG00000003163	ENSVPAG00000003163.1	ENSVPAT00000003163.1
